dataset_id,agent,owner,repo,pr_number,html_url,human_label,harnessci_decision,overall_agentic_risk,files_changed,lines_added,lines_deleted,manifest_changed_files,manifest_additions,manifest_deletions,spec_used,finding_count,top_findings,diff_sha256
omkar-yelpale__got-jokes__pull_1,Claude_Code,omkar-yelpale,got-jokes,1,https://github.com/omkar-yelpale/got-jokes/pull/1,ACCEPTABLE,PASS,29,10,472,24,10,472,24,True,0,,7d299f783c02d3049ca0ec2acbacde5d30cc6379440abf9c29e349bb6af1c8ea
gorengapps__dev.goreng.events__pull_6,Copilot,gorengapps,dev.goreng.events,6,https://github.com/gorengapps/dev.goreng.events/pull/6,ACCEPTABLE,REVIEW_REQUIRED,40,11,498,1,11,498,1,True,2,Sensitive files were modified but no new tests were added. | Change type 'security-sensitive' detected with no new tests.,6d8bd308892175965e8bc97d96fb8b4b19edda6410caee3384361830f1c6f503
CynthiaArdman-Appomni__cyberpunk2077-hacking-solver__pull_72,OpenAI_Codex,CynthiaArdman-Appomni,cyberpunk2077-hacking-solver,72,https://github.com/CynthiaArdman-Appomni/cyberpunk2077-hacking-solver/pull/72,NEEDS_REVIEW,PASS,18,1,52,0,1,52,0,True,0,,436ce1b3e3b04825b2d0acaf8e4bd5536521795a09ad0f49cb58c003cd17e24e
Maarten-Kruger__Trading__pull_19,OpenAI_Codex,Maarten-Kruger,Trading,19,https://github.com/Maarten-Kruger/Trading/pull/19,NEEDS_REVIEW,PASS,16,2,73,28,2,73,28,True,0,,94e2cad034ed1fe4f4da924a9eac3ccd8ed09c21030562687efddf914bf2cac2
soblenes32__rimworld-log2story__pull_5,OpenAI_Codex,soblenes32,rimworld-log2story,5,https://github.com/soblenes32/rimworld-log2story/pull/5,ACCEPTABLE,PASS,18,3,31,3,3,31,3,True,0,,803a12b63f148d2ef49f1ac249122e92dde3086702953c7f18a02260a1bd3c97
Lightiam__Juice-AI__pull_3,Devin,Lightiam,Juice-AI,3,https://github.com/Lightiam/Juice-AI/pull/3,ACCEPTABLE,PASS,18,1,102,16,1,102,16,True,0,,35451d882532ecd8dbfe30bcd608caee15dbc2a30adba07d9b48faaa0778c665
dvargas92495__vargasjr-dev__pull_218,Devin,dvargas92495,vargasjr-dev,218,https://github.com/dvargas92495/vargasjr-dev/pull/218,ACCEPTABLE,REVIEW_REQUIRED,38,15,4,838,15,4,838,True,0,,2cfa8e184715d5ba234500351366b409816f7f2d16377b7d9c6ff862472f329a
CELopez__gender-reveal-site__pull_10,Cursor,CELopez,gender-reveal-site,10,https://github.com/CELopez/gender-reveal-site/pull/10,ACCEPTABLE,REVIEW_REQUIRED,31,7,1396,418,7,1396,418,True,0,,fab6313fc26480ea671521707154fd805d097b373d708e0473030257b73db7e9
DukeOfEtiquette__far_county__pull_297,OpenAI_Codex,DukeOfEtiquette,far_county,297,https://github.com/DukeOfEtiquette/far_county/pull/297,ACCEPTABLE,PASS,18,3,40,0,3,40,0,True,0,,dd2480a94d5a6b51e19a1a92532be1c594e24e0848dc98320dc809d8a94f3899
ewolff__software-architektur.tv__pull_52,Claude_Code,ewolff,software-architektur.tv,52,https://github.com/ewolff/software-architektur.tv/pull/52,NEEDS_REVIEW,PASS,18,1,5,3,1,5,3,True,0,,78c2a535445a97fe75f4c4186c82be649a9a5ce94abe7980582c3573ae5ec3d3
itdojp__ITDO_ERP2__pull_141,Claude_Code,itdojp,ITDO_ERP2,141,https://github.com/itdojp/ITDO_ERP2/pull/141,ACCEPTABLE,PASS,22,4,270,0,4,270,0,True,0,,f0c63f7a061c62f4294cca528425d502af64ce5c9ff15a27ee3f5ec64768f8f2
digitaldemocracy2030__kouchou-ai__pull_397,Devin,digitaldemocracy2030,kouchou-ai,397,https://github.com/digitaldemocracy2030/kouchou-ai/pull/397,NEEDS_REVIEW,PASS,20,2,657,13,2,657,13,True,0,,b03c3c092073dfa25063a9b6f19eb08d99e0f192c39c8302a033ecb9c49045f0
lesven__onboarder__pull_26,Copilot,lesven,onboarder,26,https://github.com/lesven/onboarder/pull/26,NEEDS_REVIEW,PASS,22,2,7,7,2,7,7,True,1,Public API changed but no new tests were added to verify the contract.,5f4b81cab1a35b6b561d05373e930851b52b4f339145be9b208031bbd72918dc
tsonobe1__hugo-tsono__pull_8,Devin,tsonobe1,hugo-tsono,8,https://github.com/tsonobe1/hugo-tsono/pull/8,NEEDS_REVIEW,REVIEW_REQUIRED,46,22,3191,570,22,3191,570,True,2,Change type 'database-change' detected with no new tests. | Database migration added with no new tests.,5ac8610d5ac7cc870c68811b6cef7a96685d23bbf5aae376b40aa9d49058c725
OsmanElsaid__Eulergamemath__pull_1,Cursor,OsmanElsaid,Eulergamemath,1,https://github.com/OsmanElsaid/Eulergamemath/pull/1,ACCEPTABLE,REVIEW_REQUIRED,36,18,2265,1,18,2265,1,True,0,,c0ecc2ea606bc699921ba7152bcd07983d0ca0d28a1894830ec5a24d254805e7
Ransomxo__social-media-app__pull_14,Devin,Ransomxo,social-media-app,14,https://github.com/Ransomxo/social-media-app/pull/14,NEEDS_REVIEW,REVIEW_REQUIRED,58,183,48284,0,183,48284,0,True,3,Sensitive files were modified but no new tests were added. | Change type 'database-change' detected with no new tests. | Database migration added with no new tests.,93adb9c70118bfb47eb3d2fd0cc8ef87446c4ebf18e4c166d883db55f7fd5c62
SepDynamics__sep__pull_1302,OpenAI_Codex,SepDynamics,sep,1302,https://github.com/SepDynamics/sep/pull/1302,ACCEPTABLE,PASS,18,1,5,0,1,5,0,True,0,,255cd948a94f1159b08bfef3e6005d76bb45f05e4188525afb308a2589b7101a
justinjsmith__NebulaBridge__pull_15,Devin,justinjsmith,NebulaBridge,15,https://github.com/justinjsmith/NebulaBridge/pull/15,ACCEPTABLE,PASS,18,1,140,0,1,140,0,True,0,,968bfb6a1ea0e988cae8ed68f825d1b26072c1d9a32286f4d86b4264efaddc15
Tokioace__N64-Nexus__pull_61,Cursor,Tokioace,N64-Nexus,61,https://github.com/Tokioace/N64-Nexus/pull/61,ACCEPTABLE,REVIEW_REQUIRED,36,12,2239,188,12,2239,188,True,0,,9798cef062f753bfe746cb9a09dd014292b065e56569dd39a83e89c61ef2e362
airbytehq__airbyte__pull_61431,Devin,airbytehq,airbyte,61431,https://github.com/airbytehq/airbyte/pull/61431,NEEDS_REVIEW,PASS,18,1,7,0,1,7,0,True,0,,13f30de2d7f605d41beb039c60eca9cfea5cb78549b5d55e35ff4db10009bd4d
warrenwhipple__try-assistant-ui__pull_2,Cursor,warrenwhipple,try-assistant-ui,2,https://github.com/warrenwhipple/try-assistant-ui/pull/2,NEEDS_REVIEW,PASS,22,3,125,2,3,125,2,True,1,Public API changed but no new tests were added to verify the contract.,b1310f47ea8d860fa9f4f7bc431a072a966dbea76a38ce4293b32a99f5a7fd41
Laurent-Pannetier__chassesautresor-local__pull_68,OpenAI_Codex,Laurent-Pannetier,chassesautresor-local,68,https://github.com/Laurent-Pannetier/chassesautresor-local/pull/68,NEEDS_REVIEW,PASS,18,1,30,44,1,30,44,True,0,,1ed39c0f3552d9327cfa452a1e74f8259b19f823f8cf9bc9f7836700d0783d69
Hambbuk__lama__pull_1,Cursor,Hambbuk,lama,1,https://github.com/Hambbuk/lama/pull/1,NEEDS_REVIEW,REVIEW_REQUIRED,40,206,77,69712,206,77,69712,True,0,,325e729b438ae6a689d7239d6655e241b8969316376dcc67cafb90c0c6e0b9d6
sugyan__claude-code-webui__pull_195,Claude_Code,sugyan,claude-code-webui,195,https://github.com/sugyan/claude-code-webui/pull/195,ACCEPTABLE,PASS,18,2,10,15,2,10,15,True,0,,bbe7823a2101ce61df996b40c8722fd1a3d9ef7d7af16f80131d7f43d04199a9
engkimo__SynthepseAI__pull_13,Devin,engkimo,SynthepseAI,13,https://github.com/engkimo/SynthepseAI/pull/13,ACCEPTABLE,REVIEW_REQUIRED,40,40,25770,63,40,25770,63,True,0,,7969b72c1ac3bf89ab504b636dbd41b15bfc136cef14999e56c4cb4f9c20cfba
joramopi__SIL__pull_41,OpenAI_Codex,joramopi,SIL,41,https://github.com/joramopi/SIL/pull/41,ACCEPTABLE,PASS,18,1,26,0,1,26,0,True,0,,35692a8f633cf1f8100eaafb1c0d5b2f564ad5382952b4a23835dee6d39058d6
jaki95__dj-set-downloader__pull_39,Cursor,jaki95,dj-set-downloader,39,https://github.com/jaki95/dj-set-downloader/pull/39,NEEDS_REVIEW,PASS,27,8,217,8,8,217,8,True,0,,d59aaf3df4a66f5cf3b31dd51caad1f1780621b7401adf0ab9bf49dc4106b5b0
TonPlaygramBot__TonPlaygramWebApp__pull_1871,OpenAI_Codex,TonPlaygramBot,TonPlaygramWebApp,1871,https://github.com/TonPlaygramBot/TonPlaygramWebApp/pull/1871,ACCEPTABLE,PASS,18,1,22,0,1,22,0,True,0,,e2429fef0e66ccadb7cdb487cce315e8d6e21ccac625ad84b84d630366fbd43c
nanameru__aideasobou__pull_3,Devin,nanameru,aideasobou,3,https://github.com/nanameru/aideasobou/pull/3,ACCEPTABLE,PASS,22,2,576,381,2,576,381,True,0,,5c1a00be41f6bb1f4249816d3a60e4c0a1ef9251ba28983a645fcea55720747a
VimsRocz__IMU__pull_406,OpenAI_Codex,VimsRocz,IMU,406,https://github.com/VimsRocz/IMU/pull/406,NEEDS_REVIEW,REVIEW_REQUIRED,40,93,2222,5113,93,2222,5113,True,0,,864462dcf18a107b65534bed6184c1225b70f637a3cb9e1cf1933706a1d08722
mvb0005__SHDL__pull_2,Copilot,mvb0005,SHDL,2,https://github.com/mvb0005/SHDL/pull/2,ACCEPTABLE,PASS,20,1,306,0,1,306,0,True,0,,7f95482b7b1ed61a966ac4dff3c45b46eacac0a3a04267c29e1abf845cdb5244
renuo__github-pull-request-counter__pull_67,Devin,renuo,github-pull-request-counter,67,https://github.com/renuo/github-pull-request-counter/pull/67,NEEDS_REVIEW,REVIEW_REQUIRED,32,11,480,105,11,480,105,True,0,,a1e8b6669005a36e4219488c643b97918c7bf394539a7ebbe86358350cc9c2fc
Neerajj00__FoodRecipe__pull_1,Copilot,Neerajj00,FoodRecipe,1,https://github.com/Neerajj00/FoodRecipe/pull/1,NEEDS_REVIEW,PASS,18,1,2,0,1,2,0,True,0,,060fe30f6522ff3cf384e3d6319801b169b8d503700ea1066aca7eeba460c845
UltimatePea__chinese-ocaml__pull_1351,Claude_Code,UltimatePea,chinese-ocaml,1351,https://github.com/UltimatePea/chinese-ocaml/pull/1351,ACCEPTABLE,PASS,28,5,157,13,5,157,13,True,2,Sensitive files were modified but no new tests were added. | Change type 'security-sensitive' detected with no new tests.,a0c44c566c1529eddfedd63545327fbc21d9ac3fb3f28ff93e854d280f78529b
naoto714714__kindle-rank-bot__pull_6,Claude_Code,naoto714714,kindle-rank-bot,6,https://github.com/naoto714714/kindle-rank-bot/pull/6,ACCEPTABLE,PASS,30,8,424,58,8,424,58,True,0,,de31b7bb3d629528b68949c6b19113ffe04383ce6be11b8f771adb96648e3301
Zetic__hordes__pull_122,Copilot,Zetic,hordes,122,https://github.com/Zetic/hordes/pull/122,ACCEPTABLE,REVIEW_REQUIRED,36,13,573,76,13,573,76,True,0,,1094d28c6ab0a17b0f12f50e915911c3d50c3ed66d9361ff9fbac555215518b3
unsolublesugar__zenn-content__pull_96,Claude_Code,unsolublesugar,zenn-content,96,https://github.com/unsolublesugar/zenn-content/pull/96,ACCEPTABLE,PASS,22,1,0,2,1,0,2,True,1,Public API changed but no new tests were added to verify the contract.,f011464c4e1ff92f48f3d07cce9670cb4007280e20b99b66d949cba14bc611e8
Lightiam__Spreadify.ai__pull_3,Devin,Lightiam,Spreadify.ai,3,https://github.com/Lightiam/Spreadify.ai/pull/3,NEEDS_REVIEW,PASS,20,5,148,1,5,148,1,True,0,,a4e76a0b398a184b3f84783a64621f43306345e26332bfc776739aa3c2769138
Adyem__Libft__pull_65,OpenAI_Codex,Adyem,Libft,65,https://github.com/Adyem/Libft/pull/65,NEEDS_REVIEW,PASS,18,1,1,1,1,1,1,True,0,,578ba16881e3a35b017bacba418126292e1f258b9f35c99e2381749114812047
Aid-On__aid-on-js-training__pull_17,Devin,Aid-On,aid-on-js-training,17,https://github.com/Aid-On/aid-on-js-training/pull/17,ACCEPTABLE,PASS,16,2,65,12,2,65,12,True,0,,a6788818a8ab5a0e07e504daa3404eb0d709440431501a6763b94da0ce23d4b5
cyrusaf__mcp__pull_12,OpenAI_Codex,cyrusaf,mcp,12,https://github.com/cyrusaf/mcp/pull/12,ACCEPTABLE,PASS,18,3,31,21,3,31,21,True,0,,62ee91ff8ff6a7db1f5b4a56e17986a765a679fdafad116212dac57a8cc62b3c
SolaceHarmony__ember-ml-kotlin__pull_19,Copilot,SolaceHarmony,ember-ml-kotlin,19,https://github.com/SolaceHarmony/ember-ml-kotlin/pull/19,ACCEPTABLE,REVIEW_REQUIRED,31,7,1339,4,7,1339,4,True,0,,2ca7201dd14895bfef3650a4b82762794ec71e57311344aa99ae2054869eb6f7
locomorange__clap-jules__pull_81,Copilot,locomorange,clap-jules,81,https://github.com/locomorange/clap-jules/pull/81,NEEDS_REVIEW,REVIEW_REQUIRED,32,13,1391,22,13,1391,22,True,0,,040143b7c6dfe8993a22b58656b70cd8b58d1e80a4365c7d9169fcf0a57c01a5
leynos__netsuke__pull_21,OpenAI_Codex,leynos,netsuke,21,https://github.com/leynos/netsuke/pull/21,ACCEPTABLE,PASS,20,1,244,255,1,244,255,True,0,,57da02f191f0fc1a27a68296b8ce70923b75bccf075f885c5b79cb0798d3f231
utkualcan__ShoppingAPI__pull_6,Copilot,utkualcan,ShoppingAPI,6,https://github.com/utkualcan/ShoppingAPI/pull/6,NEEDS_REVIEW,PASS,22,1,745,0,1,745,0,True,0,,245e070e672de060c2a034c5426333b7e998bf6ec802932b67cfbde10fe2c475
HumanSignal__label-studio__pull_7861,Cursor,HumanSignal,label-studio,7861,https://github.com/HumanSignal/label-studio/pull/7861,NEEDS_REVIEW,REVIEW_REQUIRED,35,10,744,44,10,744,44,True,1,Public API changed but no new tests were added to verify the contract.,457a842e712194d2d7c4babf29b284a31e76844fade61d52866c3ea584582d9a
Azure__azure-kusto-python__pull_579,Copilot,Azure,azure-kusto-python,579,https://github.com/Azure/azure-kusto-python/pull/579,NEEDS_REVIEW,PASS,22,5,30,11,5,30,11,True,0,,9e062883f9fc9a60f5a159ca187a3887fa1b66f5d1d7e10a7aad8f7f2ddfe758
athipan1__AI_Assistant_PaiNaiDee__pull_12,Copilot,athipan1,AI_Assistant_PaiNaiDee,12,https://github.com/athipan1/AI_Assistant_PaiNaiDee/pull/12,ACCEPTABLE,REVIEW_REQUIRED,42,13,3975,2,13,3975,2,True,1,Public API changed but no new tests were added to verify the contract.,b23609fb3da4ac188360b3855ece5db5f03c836663c2514d38d97566a2a44c3f
kurosawa-kuro__vue-chi__pull_4,Devin,kurosawa-kuro,vue-chi,4,https://github.com/kurosawa-kuro/vue-chi/pull/4,ACCEPTABLE,PASS,18,1,49,6,1,49,6,True,0,,309c639a621204a3ea0c38425e00afbc519e216a0ff94dad583b4569bea6c0d2
pyth-network__pyth-crosschain__pull_2292,Devin,pyth-network,pyth-crosschain,2292,https://github.com/pyth-network/pyth-crosschain/pull/2292,NEEDS_REVIEW,REVIEW_REQUIRED,40,34,2844,0,34,2844,0,True,0,,286f190cbabba28520bd55f109160c591fbcafd1398a76c42696e45ef586dddb
MilliHub-dev__SBC__pull_5,Cursor,MilliHub-dev,SBC,5,https://github.com/MilliHub-dev/SBC/pull/5,ACCEPTABLE,REVIEW_REQUIRED,48,16,11124,669,16,11124,669,True,2,Sensitive files were modified but no new tests were added. | Change type 'security-sensitive' detected with no new tests.,f5e7cc3d1a3b197abfd6d35505c69a16f6c24fdcdc5d25b2d4491f7345d4163c
CosminMRotaru__PitchCraft__pull_1,Copilot,CosminMRotaru,PitchCraft,1,https://github.com/CosminMRotaru/PitchCraft/pull/1,NEEDS_REVIEW,REVIEW_REQUIRED,60,9258,1412472,2,9258,1412472,2,True,4,Sensitive files were modified but no new tests were added. | Change type 'database-change' detected with no new tests. | Database migration added with no new tests.,6794f13420e07e128e12524eb3a37e2a1366883dfc29d2de2140a35b12cae794
a21ai__yours-wallet__pull_2,Devin,a21ai,yours-wallet,2,https://github.com/a21ai/yours-wallet/pull/2,NEEDS_REVIEW,PASS,26,5,642,2,5,642,2,True,0,,1090e4b4956ab5a5283c0432bce5e80e06a0a3efe7d33e570b102633378bc0ca
Deadvi5__diet-app-backend__pull_27,OpenAI_Codex,Deadvi5,diet-app-backend,27,https://github.com/Deadvi5/diet-app-backend/pull/27,NEEDS_REVIEW,PASS,30,5,181,22,5,181,22,True,2,Change type 'database-change' detected with no new tests. | Database migration added with no new tests.,faf29ea573aeac6579a3153ad9af7689f4327246cb8f55ad5dde903169562d48
pwa-builder__PWABuilder__pull_4994,Copilot,pwa-builder,PWABuilder,4994,https://github.com/pwa-builder/PWABuilder/pull/4994,ACCEPTABLE,PASS,22,5,247,63,5,247,63,True,0,,7fc9bda0ad0d28ec4289779079c4741927e81be2da7c75b7ab6b0253d252d914
opentelemetrybot__opentelemetry-collector-contrib__pull_88,Copilot,opentelemetrybot,opentelemetry-collector-contrib,88,https://github.com/opentelemetrybot/opentelemetry-collector-contrib/pull/88,NEEDS_REVIEW,PASS,30,16,61,1,16,61,1,True,0,,b421b9b0157d536b84d65dd8a7e78d93b4c4d227acc5cee0cb34b13f75104e50
danieleschmidt__fair-credit-scorer-bias-mitigation__pull_41,Claude_Code,danieleschmidt,fair-credit-scorer-bias-mitigation,41,https://github.com/danieleschmidt/fair-credit-scorer-bias-mitigation/pull/41,NEEDS_REVIEW,REVIEW_REQUIRED,38,12,1591,1,12,1591,1,True,0,,d3d025224634d6af3738b5ebe0e0f39a4063effdacbe40f0718168eed01a9a72
gsv169__gsv169.github.io__pull_2,Cursor,gsv169,gsv169.github.io,2,https://github.com/gsv169/gsv169.github.io/pull/2,NEEDS_REVIEW,PASS,26,5,1127,0,5,1127,0,True,0,,916fc8d6d4a8d2485ac6c4a92414bd7afd08c23d30f64aa7674442a4cfea68c5
mattpocock__total-typescript-monorepo__pull_284,Cursor,mattpocock,total-typescript-monorepo,284,https://github.com/mattpocock/total-typescript-monorepo/pull/284,NEEDS_REVIEW,PASS,22,1,277,357,1,277,357,True,0,,ed542152d89071b8fd53a6e435ba9d579dd2a4e5995f14ea3c998bff6507551d
BittnerPierre__AI-Agent-Casebook__pull_33,Claude_Code,BittnerPierre,AI-Agent-Casebook,33,https://github.com/BittnerPierre/AI-Agent-Casebook/pull/33,NEEDS_REVIEW,REVIEW_REQUIRED,40,13,1477,7,13,1477,7,True,0,,8760df28b3ee70e10705fb0cb643b27ebd76d50f6ac844043860d058b641e195
hersouls__SMS_V.1.0__pull_48,Cursor,hersouls,SMS_V.1.0,48,https://github.com/hersouls/SMS_V.1.0/pull/48,ACCEPTABLE,PASS,18,1,33,2,1,33,2,True,0,,96c175848afa3c00d153ba71e7916590c2ea27fb2c8f81e9a92afcfe42308b71
microsoft__ApplicationInsights-JS__pull_2571,Copilot,microsoft,ApplicationInsights-JS,2571,https://github.com/microsoft/ApplicationInsights-JS/pull/2571,NEEDS_REVIEW,PASS,20,4,59,0,4,59,0,True,0,,725aef9e05ae1e3f409663bdf133733005e4d8d3a5c5a2942f1689376710e707
GDogMcCoy__PanDerm-IOS-App__pull_2,Cursor,GDogMcCoy,PanDerm-IOS-App,2,https://github.com/GDogMcCoy/PanDerm-IOS-App/pull/2,ACCEPTABLE,REVIEW_REQUIRED,40,12,3177,1053,12,3177,1053,True,1,Public API changed but no new tests were added to verify the contract.,0a51e75d0df850272dbafb7fcff68f61bb3bbc2e45b518ce3194bf9ec4c13fcc
BjornMelin__tripsage-ai__pull_252,Claude_Code,BjornMelin,tripsage-ai,252,https://github.com/BjornMelin/tripsage-ai/pull/252,NEEDS_REVIEW,REVIEW_REQUIRED,52,42,12107,6363,42,12107,6363,True,2,Sensitive files were modified but no new tests were added. | Change type 'security-sensitive' detected with no new tests.,0ea03126056f0d68e05bb68078abe893aaf18907929a8d693c7267bafee79b40
mediar-ai__terminator__pull_173,Cursor,mediar-ai,terminator,173,https://github.com/mediar-ai/terminator/pull/173,NEEDS_REVIEW,REVIEW_REQUIRED,32,7,1353,13,7,1353,13,True,0,,c8e78d7952c9418b6c1e351ca5a476e4a3d45ad7bae7727b96f27e677cec82a3
bufbuild__buf__pull_3651,Claude_Code,bufbuild,buf,3651,https://github.com/bufbuild/buf/pull/3651,NEEDS_REVIEW,PASS,18,1,62,1,1,62,1,True,0,,030cb87fd9591a389b8b9359d4c1f4b8d61f641f60bd54b76cda9f8a5e6fcb00
nicholasgriffintn__ai-platform__pull_572,Cursor,nicholasgriffintn,ai-platform,572,https://github.com/nicholasgriffintn/ai-platform/pull/572,ACCEPTABLE,REVIEW_REQUIRED,42,22,514,156,22,514,156,True,2,Sensitive files were modified but no new tests were added. | Change type 'security-sensitive' detected with no new tests.,dc7a296d6aa5d71a653bf6809cd0d34385ee82d2745e635a18fe93c5230e74ba
HyperCogWizard__ml-operating-system__pull_2,Copilot,HyperCogWizard,ml-operating-system,2,https://github.com/HyperCogWizard/ml-operating-system/pull/2,ACCEPTABLE,REVIEW_REQUIRED,38,21,3872,0,21,3872,0,True,0,,909ae3e113b124cfc90a17d314a41741982d690e1b9d995160724b9c288735d5
mineral-dev__strapi-5-plugin-dashboard__pull_1,Cursor,mineral-dev,strapi-5-plugin-dashboard,1,https://github.com/mineral-dev/strapi-5-plugin-dashboard/pull/1,ACCEPTABLE,REVIEW_REQUIRED,38,15,15620,10636,15,15620,10636,True,0,,e99e5a18c97daade4f0a27ddeb99d5482e6b107bd6f4020a096f0481bfaab512
DashCoreAutoGuix__dash__pull_205,Claude_Code,DashCoreAutoGuix,dash,205,https://github.com/DashCoreAutoGuix/dash/pull/205,NEEDS_REVIEW,PASS,18,3,39,0,3,39,0,True,0,,207762ebb1787fae7eb57c68e3eaff25242e09f945e44f0d5fb4989d50998221
